service,t,x,v,a,P
E500,2341,1.23596852587,11.8772793223,1.08981080743,636919.962085
E501,2341,3.57875683834,27.1686697263,1.02642961515,1456922.35601
E502,2341,5.4664161426,28.3531551716,-0.330700393113,2.60455543367
E503,2341,7.47074234164,45.727866462,-0.467504541504,5.93832923452
E504,2341,9.84281354024,15.7808101534,1.078355192,846247.135247
E505,2341,3.48511844645,51.8506983104,-0.53100790868,7.64809190927
E506,2341,5.31906551477,19.1585856728,1.06582885475,1027380.66901
E507,2341,0.198975584602,5.4225372383,-1.1,0.0
E500,2342,1.23981359342,15.7808101534,1.078355192,846247.135247
E501,2342,3.58677775975,29.6847226576,-0.338914153816,2.79460351688
E502,2342,5.4741348211,27.6848866522,1.02342271315,1484604.55818
E503,2342,7.48361435109,47.3806653593,0.579224300964,2000440.19357
E504,2342,9.84773664426,19.6375498514,1.0638563262,1053065.17166
E505,2342,3.49925898503,50.1206026884,0.492680622851,2000353.9391
E506,2342,5.32449898308,18.8804170917,-1.1,0.0
E507,2342,0.199929094946,1.4625372383,-1.1,0.0
E500,2343,1.24473669744,19.6375498514,1.0638563262,1053065.17166
E501,2343,3.59485449345,28.4782659315,-0.331456094822,2.62202633693
E502,2343,5.48223965754,29.5138771246,-0.337839217981,2.76970699093
E503,2343,7.49705568696,49.3495400449,0.51654326313,2000376.88419
E504,2343,9.85372328509,23.4368373444,1.04648220727,1256802.37857
E505,2343,3.51342005309,51.8002367268,0.441882784509,2000307.14576
E506,2343,5.32919079338,14.9204170917,-1.1,0.0
E500,2344,1.25072333827,23.4368373444,1.04648220727,1256802.37857
E501,2344,3.60259976883,27.2978166899,-0.324458278738,2.46027850459
E502,2344,5.49026946288,28.3111687965,-0.330447530099,2.59870994528
E503,2344,7.51078974097,48.7362334248,-0.49770996232,6.7379191393
E504,2344,9.86075609114,27.1686697263,1.02642961515,1456922.35601
E505,2344,3.52802329912,53.3089786282,0.397494982282,2000268.46773
E506,2344,5.33278260368,10.9604170917,-1.1,0.0
E500,2345,1.25775614432,27.1686697263,1.02642961515,1456922.35601
E501,2345,3.61064423378,29.6421717961,-0.338645849616,2.78838845899
E502,2345,5.49798252408,27.8140849375,1.02266128593,1491532.83383
E503,2345,7.52408056709,46.9772429986,-0.479815244419,6.26122148098
E504,2345,9.86877701255,29.6847226576,-0.338914153816,2.79460351688
E505,2345,3.54302427233,54.6677968799,0.358405501318,2000236.04611
E506,2345,5.33527441399,7.0004170917,-1.1,0.0
E500,2346,1.26581506859,30.8237976902,1.00391951239,1652929.11433
E501,2346,3.61870927976,28.4366506675,-0.331204358438,2.61620628902
E502,2346,5.50610427268,29.4716236107,-0.33757432189,2.76357315427
E503,2346,7.53690125046,45.7959221556,0.631731100963,2000496.72475
E504,2346,9.87685374625,28.4782659315,-0.331456094822,2.62202633693
E505,2346,3.55810792836,53.3843037788,-0.548162105591,8.12868121247
E506,2346,5.33666622429,3.0404170917,-1.1,0.0
E500,2347,1.27487760931,34.3938036825,0.97919207688,1844371.26511
E501,2347,3.62644406484,27.4272138503,1.02493070706,1470786.81932
E502,2347,5.51412247124,28.2698390044,-0.330198987341,2.59296450321
E503,2347,7.54992734489,47.9389632537,0.561179592878,2000421.50939
E504,2347,9.88459902163,27.2978166899,-0.324458278738,2.46027850459
E505,2347,3.57266516585,51.4504009283,-0.526612669794,7.52623138745
E500,2348,1.28491895386,37.8651811435,0.932842368934,2000887.28544
E501,2348,3.63451035111,29.5994729369,-0.338376999106,2.78216134097
E502,2348,5.52183170554,27.9427507597,1.02189947046,1498432.55616
E503,2348,7.56351516043,49.8477440526,0.50108381028,2000361.94781
E504,2348,9.89264338036,29.6417936692,-0.338643467064,2.7883332717
E505,2348,3.58672760104,50.4879480386,0.481436591189,2000343.34318
E500,2349,1.29588285673,40.9830614698,0.8053971089,2000707.72058
E501,2349,3.64256366854,28.3948893132,-0.330952108409,2.61037457951
E502,2349,5.52996858026,29.428976776,-0.337307344821,2.75739167142
E503,2349,7.57716684789,48.2585369836,-0.492785150159,6.60585844276
E504,2349,9.90070832248,28.4362808487,-0.331202123004,2.61615460762
E505,2349,3.60098531795,52.1298220252,0.432091402134,2000298.43976
E500,2350,1.30765379109,43.693797704,0.704681730457,2000580.76684
E501,2350,3.65028958674,27.5568308719,1.02417390575,1477737.5496
E502,2350,5.5379750638,28.2281231501,-0.329948491146,2.58717406701
E503,2350,7.59032739513,46.5166375047,-0.475238056301,6.14068788705
E504,2350,9.90844300348,27.4266004434,1.0249342801,1470753.92529
E505,2350,3.61567540642,53.6055382905,0.388895568567,2000261.20564
E500,2351,1.32013046445,46.0769623942,0.622273504001,2000486.30144
E501,2351,3.65837618379,29.5573750521,-0.338112312008,2.7760312266
E502,2351,5.54568206151,28.0718876117,1.02113132768,1505357.53761
E503,2351,7.60309905952,46.3828210731,0.61205418637,2000475.15837
E504,2351,9.91650912122,29.5988730019,-0.338373224417,2.78207391577
E505,2351,3.63075461189,54.9352519934,0.350802317181,2000229.91312
E500,2352,1.33323013666,48.188711482,0.553179071165,2000413.34499
E501,2352,3.66641793756,28.3537144172,-0.330703763699,2.60463335351
E502,2352,5.55383255335,29.3869181851,-0.337044428921,2.75130473818
E503,2352,7.61627883807,48.4607181251,0.544514389315,2000404.58508
E504,2352,9.92456227386,28.3943025409,-0.330948566784,2.61029270298
E505,2352,3.64574288252,52.9711862448,-0.543491952969,7.99705929535
E500,2353,1.34688121909,49.8354848887,-0.509226980768,7.0493259736
E501,2353,3.67413676282,27.6851969963,1.0234208884,1484621.20043
E502,2353,5.56182748327,28.1869813798,-0.329701804535,2.58147184037
E503,2353,7.6299818913,49.5327457263,-1.1,0.0
E504,2353,9.9322880203,27.555716671,1.02418042651,1477677.80043
